index,name,Producer,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Alcohol Content,instance,vivino_wine,id,winery,region,style,varietal_name,regional_name,body,acidity,style_description,ratings_count,ratings_average,vintage_description,ranking_region,ranking_global,added_sulfites,biodynamic,wine_description,country_name,type_id,type
11,Gruner Veltliner 1L 2019 Hugl Weine,Hugl Wimmer,Niederosterreich [Lower Austria],Gruner Veltliner,White Fish,Green and Flinty,13.5%,"Wine: Gruner Veltliner 1L 2019 Hugl Weine, Source: name-search",Hugl Wimmer Grüner Veltliner,2753302,Hugl Wimmer,Weinviertel,Austrian Grüner Veltliner,Grüner Veltliner,Austrian,3,3,"Grüner Veltliner is the signature grape of Austria. Following strict fermentation and bottling standards, is it difficult to find a poorly made Grüner.

Very similar to Sauvignon Blanc, in many respects, Grüner Veltliner is a great alternative to explore, expressing nuances that will make your nose and palate crave more. Although hard to find, sparkling Grüner are exceptionally fun to try.

Dry, delicate, with a tingly finish, this wine imparts significant citrus flavors of lime, lemon, and grapefruit. Some Grüner also have a prevailing nectarine note as well. For non-fruits Grüner, you can expect white pepper, and slight bitterness of flavors of vegetables like radish.

If oaked, which not all are, you will taste and smell nut and cream. These wines do not have significant shelf life, and are best enjoyed within 2 years of bottling.

When pairing with food think light delicate proteins such as veal, paté, or roasted pork. This wine goes also well with light flaky fish, and mollusks such as oysters and mussels. Grüner goes particularly well with soft cows' milk or goat cheese, and is traditionally paired with Wienerschnitzel.",782,3.8,,0.0231055900621118,0.06232401801932981,,,"The Mature grapes are gently pressed and refrigerated fermented. The expansion is carried out exclusively in Stainless steel tanks.The typical Grüner Veltliner spicy, fruity, peppery with an animating acidity.",Austria,2,White
13,Vino Tinto 2017 Traslapiedra,Traslapiedra,Altamira,Cabernet Sauvignon - Malbec,Beef and Venison,Bold and Structured,13 - 13.6%,"Wine: Vino Tinto 2017 Traslapiedra, Source: name-search",Tobia Viña Tobía Rioja Tinto,3493571,Tobia,Rioja,Spanish Rioja Red,Rioja Red,Spanish,4,3,"Rioja is arguably Spain's top wine region and is one of only two regions classified under the Denominación de Origen Calificada (DOCa) system. Its two most important red grapes are Tempranillo and Garnacha.

Although red wines from Rioja are prized, Spanish wines generally offer great bang for the buck, allowing one to indulge in quality vino without breaking the bank!

There are four categories of red wine in Rioja. The youngest of these is “Joven”. “Crianza” wines are required to age for a minimum of 2 years, with 6 months spent in oak barrels. The next level is “Reserva” in which the wine ages for a minimum of 3 years, with at least 1 year in oak barrels. Finally, the most mature wines are labeled “Gran Reserva”. These wines mature for minimum 2 years in oak barrels, followed by at least 3 years in the bottle.

Typically younger wines will be lighter in body style, exhibit more fresh fruit characteristics and are suitable to drink while young. Older wines have more developed flavor profiles, earthy characteristics, and are better suited to aging.

The medium body and high acidity in Spanish red wines from Rioja makes them excellent for pairing with a variety of foods. The approachable price points makes these wines of outstanding quality, readily available to enjoy sans guilt.",692,3.2,,0.2954442341953546,0.2443370065386079,,,"It is clean and bright, it has an intense purple red with violet edges. The nose has a clean aroma, frank and intense red fruit (currants, raspberries, cherries), notes of licorice, blackberry, violets and toffees. In mouth is balanced, friendly, medium - bodied. It has stickiness, structure and meatiness. It is long and persistent, with a very elegant bitter final note.",Spain,1,Red
14,"Mencia ""Fusco"" 2018 Bodegas Albamar",Bodegas Albamar,Ribeira Sacra,Mencia,Lamb,Rich and Intense,12 - 12.5%,"Wine: Mencia ""Fusco"" 2018 Bodegas Albamar, Source: name-search",Albamar Fusco Mencía,2724537,Albamar,Ribeira Sacra,Spanish Mencia,Mencia,Spanish,3,3,,764,3.6,,0.2022096234917866,0.11743717798304701,,,,Spain,1,Red
15,Pinot Gris 2017 Eyrie Vineyards,The Eyrie Vineyards,Dundee Hills,Pinot Gris,Cheddar and Gruyere,Aromatic and Floral,12 - 13%,"Wine: Pinot Gris 2017 Eyrie Vineyards, Source: name-search",The Eyrie Vineyards Pinot Gris,4732104,The Eyrie Vineyards,Dundee Hills,Oregon Pinot Gris,Pinot Gris,Oregon,3,3,,925,3.8,,0.10286438335125173,0.062071985741163814,,,"Complex aromas of fruit and stone mixed with honey. Enjoy rich, crisp and lively fruit in the mouth with a clean, lingering finish. ",United States,2,White
16,Menetou-Salon Blanc 2018 Philippe Gilbert,Domaine Philippe Gilbert,Menetou-Salon,Sauvignon Blanc,Meaty and Oily Fish,Green and Flinty,13 - 13.5%,"Wine: Menetou-Salon Blanc 2018 Philippe Gilbert, Source: name-search",Domaine Philippe Gilbert Menetou-Salon Blanc,4818256,Domaine Philippe Gilbert,Menetou-Salon,Upper Loire White,White,Upper Loire Valley,4,3,"The upper Loire Valley is known for two iconic wine growing sub-regions – Pouilly Fume, and Sancerre. Nearly all wine cultivated in these areas are from the Sauvignon Blanc variety.

Crisp, appropriately acidic, and aromatic, these wines are an amazing experience on both the nose and palate. They also tend to be somewhat more expensive compared to Sauvignon Blancs from other regions - but not necessarily without good reason.

Pouilly Fume to the east of the Loire river, and Sancerre to the west, each region's terroir imparts slightly different characteristics to their respective wines. Mostly unoaked, these wines have amazing structure with perfumy notes of grapefruit and gooseberry with a slight note of honey.

Wines from the Pouilly Fume tend to be a little more full-bodied than their Sancerre counterparts.

These wines pair amazingly well with nearly all kinds of seafood and salad greens with citrus or vinegar based dressings. The classic pairing of Sancerre with grilled goat cheese is quite possibly the best thing to put in one's mouth.

Somewhat collectable, a good vintage of Upper Noire white can shelve for up to ten years although, that could be pushing it. It is suggested you drink them in the 4-6 year age range.",1027,3.8,,0.09284926217073507,0.0618872457837086,,,"Nice yellow colour with golden highlights. The nose is expressive, revealing raisin notes, nougat, perfected by aromas of dried flowers (linden). It rests on a mineral structure. The attack is soft, round and balanced by a nice acidity. The finish offers an aromatic reoccurrence of orange zest.",France,2,White
17,Menetou-Salon Les Blanchais 2018 Pellé,Domaine Henry Pelle,Menetou-Salon,Sauvignon Blanc,Meaty and Oily Fish,Green and Flinty,13 - 13.4%,"Wine: Menetou-Salon Les Blanchais 2018 Pellé, Source: name-search",Henry Pellé Les Blanchais Menetou-Salon Morogues,2340794,Henry Pellé,Menetou-Salon,Upper Loire White,White,Upper Loire Valley,4,3,"The upper Loire Valley is known for two iconic wine growing sub-regions – Pouilly Fume, and Sancerre. Nearly all wine cultivated in these areas are from the Sauvignon Blanc variety.

Crisp, appropriately acidic, and aromatic, these wines are an amazing experience on both the nose and palate. They also tend to be somewhat more expensive compared to Sauvignon Blancs from other regions - but not necessarily without good reason.

Pouilly Fume to the east of the Loire river, and Sancerre to the west, each region's terroir imparts slightly different characteristics to their respective wines. Mostly unoaked, these wines have amazing structure with perfumy notes of grapefruit and gooseberry with a slight note of honey.

Wines from the Pouilly Fume tend to be a little more full-bodied than their Sancerre counterparts.

These wines pair amazingly well with nearly all kinds of seafood and salad greens with citrus or vinegar based dressings. The classic pairing of Sancerre with grilled goat cheese is quite possibly the best thing to put in one's mouth.

Somewhat collectable, a good vintage of Upper Noire white can shelve for up to ten years although, that could be pushing it. It is suggested you drink them in the 4-6 year age range.",379,3.8,,0.09788305061370846,0.06391270492378953,,,Citrus and vegetable notes melt into minerality without ever being too heavy or too exuberant.,France,2,White
18,"2015 Larry Hyde & Sons Chardonnay, Carneros, USA",Hyde Estate Winery,Carneros,Chardonnay,Mushrooms,Buttery and Complex,null,"Wine: Chardonnay Hyde Vineyard 2015 Larry Hyde, Source: name-search",Aubert Chardonnay Larry Hyde & Sons,17937492,Aubert,Los Carneros,Napa Valley Chardonnay,Chardonnay,Napa Valley,4,1,,387,4.5,,0.015988083416087387,0.0009791529783845785,,,"It is without a doubt our best to date. It is a precise reflection of both vintage and terroir. Please note the greenish hue on the edge of the glass, which is indicative of the health of the wine. Initially, aromatics of white nectarines and green apple showcase delicate fruits. Secondary aromas evolve with time to form more expressive, complex notes of bergamot, sea air and citrus flowers. The palate is racy, yet rich, with intense gras and oily textures. Layered with extract and acid, the 2014 Larry Hyde & Sons has what it takes to age for the next 10 to 15 years. The wine has a slight hazy clarity showing our commitment to minimal intervention winemaking.
",United States,2,White
19,Chardonnay 2015 Brittan Vineyards,Brittan Vineyards,Willamette Valley,Chardonnay,Mushrooms,Buttery and Complex,13.4 - 13.9%,"Wine: Chardonnay 2015 Brittan Vineyards, Source: name-search",Bouchaine Hyde Vineyard Chardonnay,157525233,Bouchaine,Los Carneros,Napa Valley Chardonnay,Chardonnay,Napa Valley,4,1,,11,4.0,,0.3321182067948804,0.14881685267178218,,,,United States,2,White
20,"Syrah ""Generoso"" 2019 Laurent Family",Vina Laurent S.A,Curico Valley,Syrah,Beef and Venison,Bold and Structured,,"Wine: Syrah ""Generoso"" 2019 Laurent Family, Source: name-search",Viña Laurent Generoso Syrah,155742765,Viña Laurent,Maipo Valley,Chilean Syrah,Syrah,Chilean,4,3,"Syrah is a big, thick-skinned grape that originates in the Rhone Valley, yet has found its home in hot climates all over the world.

Chilean Syrah is a big, bold luscious wine that, given Chile's diverse climate, changes from region to region. Expect a lot of spice, lots of black fruit juice and compelling complexity.

There is a lot of faith in Chilean Syrah. Plantings almost doubled from 2008-2012 and this style of wine is starting to really turn the heads of some of the world's top wine critics.

The most renowned Syrah regions in Chile are Colchagua, Maipo and Limari, all of which bring an array of different aromas, flavors and levels of complexity to the table.

Syrahs are happiest when they have a strongly flavored, hearty food to stand up to. Think casseroles, big peppery steaks, and relatively spicy curries.",132,3.7,,0.09793270920535514,0.09444895461487877,,,,Chile,1,Red
22,Cabernet Sauvignon 2017 Pura Fe,Antiyal Wines,Maipo Valley,Cabernet Sauvignon,Beef and Venison,Bold and Structured,14.5%,"Wine: Cabernet Sauvignon 2017 Pura Fe, Source: name-search",Antiyal Pura Fe Cabernet Sauvignon,15777271,Antiyal,Maipo Valley,Chilean Cabernet Sauvignon,Cabernet Sauvignon,Chilean,4,3,"Cabernet Sauvignon is the most widely grown grape in the New World. Cabs from Chile have an elegance and earn great respect due to the complexity and diversity of characteristics, stemming from nuances of what the Chilean landscape gives to the grape.

Thick skins lead to classicly high tannins, and strong red and black fruit-forward characteristics on both the nose and palate.

The grape originates from France and is one of the 5 original grapes of Bordeaux. Chemical compound in the grape give it a distinct note of green peppers.

This wine loves to be aged in oak. Chilean Cabs usually age in American oak for 1-2 years which gives them classic hints of vanilla, spice, and tobacco.

The really fun thing about Chilean Cabs is that you can get a wide variety of flavors on the palate depending on where in the country they originate. One should spend time getting to know the differences that Chilean Cabs have to offer.",552,3.9,,0.039105431309904154,0.042223482106206175,,,,Chile,1,Red
23,Chardonnay 2017 Nathan K.,N. Kendall Wines,Finger Lakes,Chardonnay,White Fish,Tropical and Balanced,12%,"Wine: Chardonnay 2017 Nathan K., Source: name-search",Xanthos Fly By Chardonnay,145651970,Xanthos,Sonoma County,Californian Chardonnay,Chardonnay,Californian,4,3,"With over 100,000 acres in production, Chardonnay claims more acreage than any other wine grape in California, and reigns supreme as the most popular wine consumed in the US (that's including reds and whites).

Chardonnay can trace its humble origins to Burgundy. Today it is the most widely planted white wine grape in the world. Why?

Chardonnay is prized because it's a hardy, vigorous vine that readily reflects “terroir” (a French term referring to the characteristics imparted to a wine by the climate and soil in which it is grown). Stylistically, Chardonnay can be clean with bright acidity or full-bodied with tropical notes and varying degrees of oak. In California, the latter is the more popular style.

Sonoma Coast Chards have more acidity. The coastal fog lends a degree of cooling and these wines will often exhibit pear and crisp apple notes, as well as lively citrus characteristics. Napa Valley Chards lean toward a riper and fuller style, with tropical fruit notes. Oak aging adds layers of vanilla, spice, butter and toasted hazelnut.

Oakier Chards with a slightly buttery profile have a natural affinity with rich seafood such as lobster or halibut. They also stand up well to eggs benedict, pork chops stuffed with apples or roasted butternut squash. Crisper, unoaked Chards are best paired with prawns, crab cakes, salads with mangos and or even mild curries.",53,3.4,,0.3967636022514071,0.26104093218206237,,,,United States,2,White
24,Sauvignon Blanc 2016 Pied à Terre,Pied a Terre,Sonoma County,Sauvignon Blanc,Salads and Green Vegetables,Green and Flinty,,"Wine: Sauvignon Blanc 2016 Pied à Terre, Source: name-search",Pied a Terre Sauvignon Blanc,40704480,Pied a Terre,Sonoma County,Californian Sauvignon Blanc,Sauvignon Blanc,Californian,3,3,"California is known primarily for its Cabernet and Chardonnay, but they are also producing some really lovely Sauvignon Blancs. These wines are typically high in acidity and great with food.

Sauvignon Blanc in California is usually a little fruitier than it is in France, and a little lighter in body and color than a typical Chardonnay.

Sauvignon Blanc might be the perfect wine for summertime and California makes some of the best. The wines are usually light, crisp, and brimming with gorgeous flavors of zesty lime, grapefruit, and melon. These fruit flavors are perfectly complemented with subtle herbal flavors. Some say that Sauvignon Blanc smells like freshly mown grass.

One of the best parts about Sauvignon Blanc is that it is relatively inexpensive. A lack of new oak and smaller demand, keeps its prices lower than Chardonnay. You can get great deals on these. Look for great Sauvignon Blancs from classic Napa Valley producers.",69,4.2,,0.06311374904483501,0.023474693375468005,,,"Flavors of lime, green apple, vanilla bean and hazelnuts. Medium bodied and fresh. An enticing, restrained aroma when initially opened, giving way to an ethereal and exotic mix of fennel, pineapple, quince. Light and fresh.",United States,2,White
26,"Minervois Blanc ""Champ du Roy"" 2018 Coupe-Roses",Chateau Coupe-Roses,IGP Pays d'Herault Cotes du Brian,Rare White Blend,Chicken and Turkey,Tropical and Balanced,13%,"Wine: Minervois Blanc ""Champ du Roy"" 2018 Coupe-Roses, Source: name-search",Château Coupe-Roses Minervois Blanc,4756225,Château Coupe-Roses,Minervois,Languedoc-Roussillon White,White,Languedoc-Roussillon,4,3,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",108,3.6,,0.11259619279060348,0.12462923666880665,,,,France,2,White
27,Riesling Trocken 2018 Peter Jakob Kuhn,Weingut Peter Jakob Kuhn,Rheingau,Riesling,White Fish,Green and Flinty,11%,"Wine: Riesling Trocken 2018 Peter Jakob Kuhn, Source: name-search",Peter Jakob Kühn Riesling Trocken,4756730,Peter Jakob Kühn,Rheingau,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",179,3.8,,0.04382635676094966,0.06698178422650825,,,,Germany,2,White
28,Riesling Charta 2018 Johannishof*,Weingut Johannishof,Rheingau,Riesling,White Fish,Green and Flinty,11 - 12%,"Wine: Riesling Charta 2018 Johannishof*, Source: name-search",Johannishof Charta Riesling,3315440,Johannishof,Rheingau,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",674,3.9,,0.14534626038781162,0.19599977338507985,,,,Germany,2,White
29,Bobal 2018 La Traca,,Valencia,Bobal,Lamb,Rich and Intense,13%,"Wine: Bobal 2018 La Traca, Source: name-search",Risky Grapes La Traca Bobal,2991022,Risky Grapes,Valencia,Spanish Red,Red,Spanish,4,3,"The savory red wines of Spain are brooding and complex. They are typically a little lighter than a California Cabernet, but richer and fuller than a Pinot Noir.

The most commonly used red grapes in Spain are the lovely Tempranillo grape and the rich Garnacha, but Cabernet Sauvignon is starting to get popular as well.

The main grape in Spain is Tempranillo, which is followed closely by Garnacha. In the past, Spanish reds were know to be worthy of aging for decades and were very expensive because of this. Now that technology is more available they are making more affordable, fruitier wines.

The most famous red wine in Spain is Rioja and it is made from the Tempranillo grape. Rioja is usually very complex and savory. Another famous wine is Priorat which is made largely from Garnacha and lush with dark fruit, spice, and vanilla.

Sometimes Rioja and Priorat wines can be very pricey due to their long aging, but often those same wineries make much more affordable wines that are aged for less time, but are still delicious!",971,3.5,,0.21086938470480776,0.23843070939940958,,,Bright intense cherry .Fresh fruit refreshing sweet notes elegant spicy notes expressive robust. Balanced structured freshness of the ripe fruit with soft balsamic touches. Sweet but fresh and direct.,Spain,1,Red
